Date,Close,Open,High,Low,Order matchings,% Change
14-11-13,9159,9159,9159,9159,33.34K,0.00%
15-11-13,9265,9159,9370,9159,51.71K,1.16%
18-11-13,9370,9212,9370,9212,38.13K,1.13%
19-11-13,9686,9370,9791,9265,286.79K,3.37%
20-11-13,9686,9580,9686,9580,31.42K,0.00%
21-11-13,9896,9580,10212,9580,223.44K,2.17%
22-11-13,9738,9949,9949,9580,49.38K,-1.60%
25-11-13,9791,9949,9949,9686,238.59K,0.54%
26-11-13,9844,9791,9844,9686,105.45K,0.54%
27-11-13,9738,9949,9949,9738,91.75K,-1.08%
28-11-13,9686,9738,9738,9686,103.55K,-0.53%
29-11-13,9791,9686,9791,9528,50.03K,1.08%
02-12-13,9738,9633,9738,9633,19.25K,-0.54%
03-12-13,9738,9633,9738,9580,56.40K,0.00%
04-12-13,9686,9791,9791,9686,176.99K,-0.53%
05-12-13,9633,9738,9791,9633,8.21K,-0.55%
06-12-13,9686,9633,9686,9580,31.92K,0.55%
09-12-13,9633,9686,9844,9633,46.45K,-0.55%
10-12-13,9633,9633,9633,9475,97.31K,0.00%
11-12-13,9475,9528,9528,9475,4.65K,-1.64%
12-12-13,9528,9422,9528,9370,16.32K,0.56%
13-12-13,9528,9528,9738,9528,96.02K,0.00%
16-12-13,9528,9422,9580,8580,16.73K,0.00%
17-12-13,9528,9528,9528,9475,14.03K,0.00%
18-12-13,9475,9475,9528,9475,6.96K,-0.56%
19-12-13,9686,9422,9738,9422,143.95K,2.23%
20-12-13,9686,9686,10002,9633,180.34K,0.00%
23-12-13,9633,9633,9896,9633,139.35K,-0.55%
24-12-13,9633,9633,9791,9633,36.76K,0.00%
25-12-13,9633,9580,9633,9580,40.26K,0.00%
26-12-13,9633,9686,9844,9580,161.97K,0.00%
27-12-13,9633,9633,9686,9633,141.34K,0.00%
30-12-13,9475,9580,9633,9475,286.53K,-1.64%
31-12-13,9633,9475,9633,9475,8.45K,1.67%
02-01-14,9580,9317,9686,9317,13.29K,-0.55%
03-01-14,9633,9422,9633,9422,8.45K,0.55%
06-01-14,9633,9528,9633,9475,34.35K,0.00%
07-01-14,9686,9633,9686,9633,39.63K,0.55%
08-01-14,9896,9686,9896,9686,81.37K,2.17%
09-01-14,10528,9896,10528,9896,487.67K,6.39%
10-01-14,10370,10528,10581,9738,133.14K,-1.50%
13-01-14,10265,10528,10791,9738,126.16K,-1.01%
14-01-14,10475,10054,10475,10002,152.95K,2.05%
15-01-14,10528,10423,10791,10317,194.27K,0.51%
16-01-14,11475,10528,11581,10528,309.88K,9.00%
17-01-14,11265,11475,11791,11265,166.74K,-1.83%
20-01-14,10896,11054,11212,10686,73.39K,-3.28%
21-01-14,11054,10896,11054,10475,65.58K,1.45%
22-01-14,10844,10791,11528,10791,49.56K,-1.90%
23-01-14,11002,10791,11002,10791,4.22K,1.46%
24-01-14,10896,10686,10949,10686,55.02K,-0.96%
27-01-14,11002,10791,11002,10791,26.49K,0.97%
06-02-14,11054,11212,11265,11002,32.42K,0.47%
07-02-14,11317,11212,11475,11054,128.87K,2.38%
10-02-14,11317,11107,11423,11107,27.45K,0.00%
11-02-14,11317,11317,11633,11317,108.68K,0.00%
12-02-14,11475,11317,11475,11317,50.55K,1.40%
13-02-14,12107,11475,12476,11475,199.72K,5.51%
14-02-14,12107,12633,12633,12002,31.32K,0.00%
17-02-14,12107,12107,12265,12002,82.67K,0.00%
18-02-14,12107,12107,12107,11949,72.88K,0.00%
19-02-14,12318,12107,12370,12054,93.38K,1.74%
20-02-14,11739,12318,12423,11581,118.74K,-4.70%
21-02-14,11791,11633,11791,11370,53.41K,0.44%
24-02-14,12054,12002,12212,11791,7.20K,2.23%
25-02-14,12265,11633,12265,11633,111.90K,1.75%
26-02-14,12002,12107,12160,12002,26.45K,-2.14%
27-02-14,12002,12054,12160,12002,126.61K,0.00%
28-02-14,12002,12002,12002,11844,39.48K,0.00%
03-03-14,11791,12318,12318,11739,22.85K,-1.76%
04-03-14,11633,11686,11791,11581,20.37K,-1.34%
05-03-14,11633,11739,11897,11581,57.01K,0.00%
06-03-14,11739,11844,11844,11633,83.49K,0.91%
07-03-14,11844,11791,11897,11739,69.94K,0.89%
10-03-14,11949,11844,12002,11844,18.68K,0.89%
